exp_id,model,features,n_features,n_windows,val_days,mean_ic,std_ic,w1_ic,w2_ic,w3_ic,w4_ic,w5_ic,w6_ic,w7_ic,w8_ic,w9_ic,w10_ic,params,note
20260503_162056,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0157,0.0441,0.0664,0.0158,-0.0622,0.0100,0.0484,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_mcs_20
20260503_162105,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0012,0.0562,0.0530,-0.0556,-0.0764,0.0100,0.0629,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 50, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_mcs_50
20260503_162115,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0148,0.0476,0.0312,-0.0346,-0.0614,-0.0614,0.0520,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 100, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_mcs_100
20260503_162442,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0181,0.0442,0.0410,0.0557,-0.0647,0.0104,0.0479,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.5, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_sub0.5_col0.6
20260503_162450,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0157,0.0441,0.0664,0.0158,-0.0622,0.0100,0.0484,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_sub0.6_col0.6
20260503_162459,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0097,0.0631,0.0511,-0.1091,-0.0541,0.0104,0.0530,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_sub0.7_col0.6
20260503_162507,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0037,0.0517,0.0589,-0.0608,-0.0643,0.0018,0.0460,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_sub0.8_col0.6
20260503_162546,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0175,0.0458,0.0266,0.0158,-0.0682,0.0550,0.0581,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.5, 'num_leaves': 6}",lgbm_sub0.6_col0.5
20260503_162556,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0157,0.0441,0.0664,0.0158,-0.0622,0.0100,0.0484,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 6}",lgbm_sub0.6_col0.6
20260503_162605,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0232,0.0459,0.0594,0.0302,-0.0622,0.0219,0.0667,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 6}",lgbm_sub0.6_col0.7
20260503_162613,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0207,0.0437,0.0436,0.0353,-0.0621,0.0219,0.0649,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.8, 'num_leaves': 6}",lgbm_sub0.6_col0.8
20260503_162751,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0064,0.0544,0.0351,-0.0810,-0.0621,0.0219,0.0539,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.9, 'num_leaves': 6}",lgbm_sub0.6_col0.9
20260503_162800,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0152,0.0514,0.0375,0.0348,-0.0872,0.0422,0.0484,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 1.0, 'num_leaves': 6}",lgbm_sub0.6_col1.0
20260503_163149,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0045,0.0491,0.0501,-0.0600,-0.0647,0.0104,0.0419,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.5, 'colsample_bytree': 0.7, 'num_leaves': 6}",lgbm_IC_optimal_candidate
20260503_163210,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0378,0.0426,0.0579,0.0302,-0.0399,0.0851,0.0559,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",lgbm_nl8_col07
20260503_163251,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0075,0.0628,0.0250,-0.0765,-0.0538,0.0863,0.0566,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.8, 'num_leaves': 8}",lgbm_nl8_col0.8
20260503_163259,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0017,0.0534,0.0458,-0.0765,-0.0538,0.0221,0.0541,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.9, 'num_leaves': 8}",lgbm_nl8_col0.9
20260503_173237,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0243,0.0924,0.0129,-0.1552,-0.0813,0.1204,-0.0186,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260503_173759,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,-0.0069,0.0437,0.0736,-0.0249,-0.0511,-0.0335,0.0016,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260503_203137,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0056,0.0372,0.0706,-0.0059,-0.0301,-0.0271,0.0206,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260503_203824,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0056,0.0372,0.0706,-0.0059,-0.0301,-0.0271,0.0206,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260503_204222,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|vol_20d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_position|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|margin_buy_ratio|margin_bal_chg|ret_5d_rank|ret_20d_rank|vol_20d_rank|macd_hist_rank|bb_position_rank|pb_rank|pe_ttm_rank|margin_buy_ratio_rank|margin_bal_chg_rank,31,5,21,0.0118,0.0604,0.0541,-0.0675,-0.0537,0.0800,0.0464,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260503_231222,lgbm,ret_5d|ret_10d|ret_60d|ret_120d|volume_z_20d|turnover_ma_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,18,5,21,0.0208,0.0367,0.0744,0.0185,-0.0273,-0.0085,0.0468,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260504_085906,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0101,0.0770,0.0150,-0.0143,-0.0006,0.1446,-0.0941,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",lgbm基线_15feat_3d
20260504_085935,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0208,0.0530,0.0327,0.0322,-0.0215,0.1072,-0.0463,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb基线_15feat_3d
20260504_091310,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0101,0.0770,0.0150,-0.0143,-0.0006,0.1446,-0.0941,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",lgbm基线_15feat_3d
20260504_091408,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0208,0.0530,0.0327,0.0322,-0.0215,0.1072,-0.0463,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb基线_15feat_3d
20260504_092036,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0389,0.0655,0.0370,0.0502,0.0191,0.1463,-0.0579,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_从2025-06起
20260504_092357,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0208,0.0530,0.0327,0.0322,-0.0215,0.1072,-0.0463,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_从2025-01起
20260504_092434,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0494,0.0700,0.0436,0.0877,0.0483,0.1399,-0.0724,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",lgbm_从2025-06起
20260504_092506,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0076,0.0820,0.0115,0.0109,-0.0224,0.1463,-0.1085,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",lgbm_从2025-01起
20260504_095701,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0119,0.0802,0.0175,-0.0083,0.0101,0.1458,-0.1055,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095721,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0097,0.0789,0.0175,-0.0083,0.0032,0.1418,-0.1055,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.3, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095741,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0140,0.0758,0.0249,-0.0093,0.0107,0.1401,-0.0963,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 1.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095809,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0205,0.0761,0.0262,-0.0167,0.0284,0.1490,-0.0844,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 3.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095827,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0205,0.0761,0.0310,0.0072,0.0006,0.1502,-0.0865,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095843,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0210,0.0769,0.0379,0.0273,-0.0159,0.1458,-0.0899,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095907,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0094,0.0776,-0.0021,0.0004,-0.0135,0.1503,-0.0884,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 20.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_095925,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0125,0.0788,-0.0006,-0.0060,-0.0016,0.1563,-0.0857,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 15.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
